

------------------------------------------------------------
Application started
12:02:46.939: (I) 13732: main::lambda()                          : Internet STATUS: false
12:02:46.978: (I) 13732: main::lambda()                          : Internet STATUS: true
12:04:40.319: (I) 13732: main::lambda()                          : Internet STATUS: false
12:04:41.227: (I) 13732: main::lambda()                          : Internet STATUS: false
12:04:41.841: (I) 13732: main::lambda()                          : Internet STATUS: true
12:19:59.637: (I) 13732: main::lambda()                          : Internet STATUS: false
12:19:59.637: (I) 13732: main::lambda()                          : Internet STATUS: false
12:20:12.035: (I) 13732: main::lambda()                          : Internet STATUS: false
12:20:19.895: (I) 13732: main::lambda()                          : Internet STATUS: false
12:20:47.260: (I) 13732: main::lambda()                          : Internet STATUS: false
12:20:51.293: (I) 13732: main::lambda()                          : Internet STATUS: false
12:21:01.740: (I) 13732: main::lambda()                          : Internet STATUS: false
12:21:57.581: (I) 13732: main::lambda()                          : Internet STATUS: false
12:23:10.014: (I) 13732: main::lambda()                          : Internet STATUS: false
12:23:16.762: (I) 13732: main::lambda()                          : Internet STATUS: false
12:25:01.736: (I) 13732: main::lambda()                          : Internet STATUS: true
13:27:48.157: (I) 13732: main::lambda()                          : Internet STATUS: false
13:27:48.242: (I) 13732: main::lambda()                          : Internet STATUS: true
16:02:42.119: (I) 13732: main::lambda()                          : Internet STATUS: false
16:02:42.119: (I) 13732: main::lambda()                          : Internet STATUS: true
21:25:53.598: (I) 13732: main::lambda()                          : Internet STATUS: false
21:25:56.229: (I) 13732: main::lambda()                          : Internet STATUS: true
21:25:56.490: (I) 13732: main::lambda()                          : Internet STATUS: false
21:25:56.778: (I) 13732: main::lambda()                          : Internet STATUS: true
21:35:43.716: (I) 13732: main::lambda()                          : Internet STATUS: false
21:35:44.713: (I) 13732: main::lambda()                          : Internet STATUS: false
21:35:47.876: (I) 13732: main::lambda()                          : Internet STATUS: true
00:43:07.888: (I) 13732: main::lambda()                          : Internet STATUS: false
00:43:07.891: (I) 13732: main::lambda()                          : Internet STATUS: true
14:59:56.396: (I) 13732: main::lambda()                          : Internet STATUS: false
14:59:58.281: (I) 13732: main::lambda()                          : Internet STATUS: false
14:59:59.544: (I) 13732: main::lambda()                          : Internet STATUS: true
18:44:44.029: (I) 13732: main::lambda()                          : Internet STATUS: false
18:44:44.214: (I) 13732: main::lambda()                          : Internet STATUS: true
09:00:08.561: (I) 13732: main::lambda()                          : Internet STATUS: false
09:00:10.011: (I) 13732: main::lambda()                          : Internet STATUS: true
09:00:10.231: (I) 13732: main::lambda()                          : Internet STATUS: false
09:00:38.156: (I) 13732: main::lambda()                          : Internet STATUS: false
09:00:42.463: (I) 13732: main::lambda()                          : Internet STATUS: false
09:01:18.174: (I) 13732: main::lambda()                          : Internet STATUS: true
09:26:05.646: (I) 13732: main::lambda()                          : Internet STATUS: false
09:26:09.406: (I) 13732: main::lambda()                          : Internet STATUS: false
09:26:17.289: (I) 13732: main::lambda()                          : Internet STATUS: true
09:26:52.046: (I) 13732: main::lambda()                          : Internet STATUS: false
09:27:07.541: (I) 13732: main::lambda()                          : Internet STATUS: false
09:27:07.609: (I) 13732: main::lambda()                          : Internet STATUS: false
09:27:12.237: (I) 13732: main::lambda()                          : Internet STATUS: false
09:27:12.815: (I) 13732: main::lambda()                          : Internet STATUS: true
09:27:15.349: (I) 13732: main::lambda()                          : Internet STATUS: false
09:27:17.291: (I) 13732: main::lambda()                          : Internet STATUS: true
09:29:09.339: (I) 13732: main::lambda()                          : Internet STATUS: false
09:29:09.352: (I) 13732: main::lambda()                          : Internet STATUS: false
09:29:10.256: (I) 13732: main::lambda()                          : Internet STATUS: false
09:29:11.219: (I) 13732: main::lambda()                          : Internet STATUS: true
11:51:20.472: (I) 13732: main::lambda()                          : Internet STATUS: false
11:51:20.472: (I) 13732: main::lambda()                          : Internet STATUS: false
11:51:32.467: (I) 13732: main::lambda()                          : Internet STATUS: false
11:51:33.147: (I) 13732: main::lambda()                          : Internet STATUS: true
11:51:34.540: (I) 13732: main::lambda()                          : Internet STATUS: false
11:51:47.747: (I) 13732: main::lambda()                          : Internet STATUS: false
11:52:07.722: (I) 13732: main::lambda()                          : Internet STATUS: false
11:52:12.421: (I) 13732: main::lambda()                          : Internet STATUS: false
